NewHash(v1.58),BaseHash
B96633932C330B51,1C99BB7B6E96D16F
9B08A23707EBC5AB,5CEC1A84620E7D5B
0A7322C6D0E1A985,9A294B2138ABB884
2D0F5291E9305922,99BFDC94A603E541
AED41619ADF56FA1,69778E7564BADE6D
B765858A7A410073,673966A0C0FD7171
79C07E0EE199AF10,31F924B53EADDF65
9210F85E9CD785F1,3882114BDE571AD4
0321BBB2A2B3B1ED,77F33F2CCF64B3AA
979FC7400A5D0CD2,E65F427EB70AB1ED
829EEDC841317071,2DE3F0A134FFBC0D
F07805FFBF204ED8,7FB218262B810701
EC5CB2A3F2052039,40FDEDB72F8293B2
6B8F21F773404988,74AFEF0D2E1E409B
5E53429E463B220D,6F60E89A7B64EE1D
9CCA66A85447D77C,7F8F65877F88783B
9E63031C188793E1,944955FB2A3935C8
51B6C2EF8DBE2E1A,CA7D9B86ECA7481B
EB33EEAD608B9D11,75262FD12D0A1C84
78D9ADD511FEAD8B,FCBDCE714A7C88E5
A52C4F51ECAB7E02,EE68096F9F37341E
03F97D082C4210A5,1E3F1B1B891A2AAA
BAAB64584D161C4D,A178472EBB8AE60D
67829E7E051CA476,983765856F2564F9
BED097BB6359F09C,FAEE099C6F890BB8
6019BE7548B68C4B,DC16122C7A20C933
1F741ABE25B3CDD3,015A522136D7F951
77A43AFA9AAEC041,751B70C3D034E187
E18E3777851D0C80,EEA3B200A6FEB65B
ADEBC1D44FE55F78,8ABFB70C49CC43E2
301C07463034C65F,D05BFF0C0A12C68F
F1E076F6CC1695AA,E9676F61BC0B3321
E10B76698E5CF067,605F5A140F202491
CE282187B0A6217E,886E37EC497200B6
23CB5C83D3766044,1218E6886D3D8327
C64B6E13A6A7F517,06843DA7060A026B
E85F749F6D5C809E,B346476EF1A64897
1CC29FEB3B8D48E8,E81AFC1BC4CC41CE
57973ADDF2BFAA90,AD6B3148A78AE9B6
B8F48796849E41E3,D45DC2893621E1FE
89D8EA6BE9E3F747,831E0242595560DF
BD7B8099C8298D2F,CF3A965906452031
8736933282D0483C,1F13D5AE5CB17E17
C162EEC794CBB80B,AA81B5F10BC43AC2
6F2E4667A6039155,4E5C93BD0C32FBF8
0F53BC871BA89C94,8F75998877616996
0F1F0C82FA94500F,0EDE326D47CD0F3E
5399A284D9FAD3BD,B282DC6EBD803C75
71B502FC2E129665,4D9CA1009AFBD057
395228F7A14C6543,C7622C0D36B2FDA8
3DAB02AAC9E9EC02,3C606747B23E497B
7DCB4594ACF18DA7,0703B9079823DA4A
25D0F99524B26091,52D59AB61DDC05DD
E014FF3C785EEFB5,F29CF591C4BF6CEE
52EA1154D214BFB6,9C74B0BC831B753A
9DC5CCC4C16546CB,FF41B4B141ED981C
8FBB27C41710F120,166E7CF68597D8B5
495F6EBD50BCB090,CEA04D83135264CC
6F8FB52F5D1D0B84,7DBDD04862D95F04
F2549FF74D64B720,05661B80A8C9165F
C3B76795ECBDEF41,A06C969B02A97298
05B874E9ABFF72B4,0CE3AA5E1CA19E10
E11E41EC1840AB62,29C24BFBED8AB8FB
09113F944FB63ED2,C0F97FCE55094987
